Something's Gotta Give,Comedy,Drama,Romance
Excalibur,Adventure,Drama,Fantasy
Four Weddings and a Funeral,Comedy,Drama,Romance
Doctor Zhivago,Drama,Romance,War
My Big Fat Greek Wedding,Comedy,Drama,Romance
Cyrano,Drama,Musical,Romance
Cheaper by the Dozen,Adventure,Comedy,Family
Out of Sight,Comedy,Crime,Drama
Punch-Drunk Love,Comedy,Drama,Romance
Peter Pan &amp; Wendy,Action,Adventure,Comedy
The Life and Times of Judge Roy Bean,Comedy,Drama,Romance
Real Genius,Comedy,Romance,Sci-Fi
Match Point,Drama,Romance,Thriller
Click,Comedy,Drama,Fantasy
Battle Cry,Drama,Romance,War
L'amant,Biography,Drama,Romance
High Fidelity,Comedy,Drama,Music
The Loft,Mystery,Romance,Thriller
"Love, Simon",Comedy,Drama,Romance
Tootsie,Comedy,Drama,Romance
Adrift,Action,Adventure,Biography
Die in a Gunfight,Action,Comedy,Crime
Bull Durham,Comedy,Romance,Sport
The Giver,Drama,Romance,Sci-Fi
Diet of Sex,Comedy,Drama,Romance
The Lucky One,Drama,Mystery,Romance
Ghosted,Action,Adventure,Romance
Sideways,Comedy,Drama,Romance
Grumpy Old Men,Comedy,Drama,Romance
Fool's Gold,Action,Adventure,Comedy
Anastasia,Animation,Adventure,Drama
The Other Boleyn Girl,Biography,Drama,History
Singin' in the Rain,Comedy,Musical,Romance
How Do You Know,Comedy,Drama,Romance
Can't Buy Me Love,Comedy,Drama,Romance
A Cinderella Story,Comedy,Family,Romance
Shirley Valentine,Comedy,Drama,Romance
Step Up 2: The Streets,Drama,Music,Romance
Mannequin,Comedy,Fantasy,Romance
The Three Musketeers,Action,Adventure,Comedy
The Birds,Drama,Horror,Mystery
Inherent Vice,Comedy,Crime,Drama
Bones and All,Drama,Horror,Romance
Chung Hing sam lam,Comedy,Crime,Drama
Pride,Biography,Comedy,Drama
Queen Bees,Comedy,Drama,Romance
But I'm a Cheerleader,Comedy,Drama,Romance
Ella Enchanted,Comedy,Family,Fantasy
George of the Jungle,Action,Adventure,Comedy
Sleepover,Comedy,Family,Romance
Freaky Friday,Comedy,Family,Fantasy
Pocahontas,Animation,Adventure,Drama
Wicked - Part One,Action,Adventure,Family
Pride and Prejudice and Zombies,Action,Comedy,Fantasy
Press Play,Music,Romance,Sci-Fi
Sabrina,Comedy,Drama,Romance
Three,Drama,Romance,Thriller
Sid and Nancy,Biography,Drama,Music
17 Again,Comedy,Drama,Fantasy
American Honey,Adventure,Drama,Romance
Streets of Fire,Action,Crime,Drama
The Sand Pebbles,Adventure,Drama,Romance
Ever After,Comedy,Drama,Romance
Planet Terror,Action,Comedy,Fantasy
The Parent Trap,Comedy,Family,Romance
Brazen,Crime,Drama,Mystery
Popeye,Adventure,Comedy,Family
Grease 2,Comedy,Music,Musical
Just Like Heaven,Comedy,Drama,Fantasy
Lifeforce,Action,Horror,Mystery
Scenes of a Sexual Nature,Comedy,Drama,Romance
Vision Quest,Drama,Romance,Sport
Burlesque,Drama,Music,Musical
Knight of Cups,Drama,Fantasy,Romance
The Apartment,Comedy,Drama,Romance
The Sisterhood of the Traveling Pants,Comedy,Drama,Romance
All Good Things,Crime,Drama,Mystery
Låt den rätte komma in,Drama,Fantasy,Horror
Bridget Jones's Diary,Comedy,Drama,Romance
"Se, jie",Drama,History,Romance
Do lok tin si,Comedy,Crime,Drama
Reality Bites,Comedy,Drama,Romance
The Nanny Diaries,Comedy,Drama,Romance
The Next Three Days,Action,Crime,Drama
Trolls World Tour,Animation,Adventure,Comedy
The Three Musketeers,Action,Adventure,Fantasy
Wimbledon,Comedy,Romance,Sport
The Hunchback of Notre Dame,Animation,Drama,Family
Far and Away,Adventure,Drama,Romance
Shakespeare in Love,Comedy,Drama,History
Electric Dreams,Comedy,Drama,Music
Gräns,Crime,Drama,Fantasy
The Saint,Action,Adventure,Romance
Buffalo '66,Comedy,Drama,Romance
The Lake House,Drama,Fantasy,Romance
Leave Her to Heaven,Drama,Film-Noir,Romance
Happy Feet,Animation,Adventure,Comedy
Chasing Amy,Comedy,Drama,Romance
Mickey Blue Eyes,Comedy,Crime,Romance
The Princess Diaries 2: Royal Engagement,Comedy,Family,Romance
The Illusionist,Drama,Fantasy,Mystery
Back to School,Comedy,Romance,Sport
The Handmaid's Tale,Drama,Romance,Sci-Fi
Out of Africa,Biography,Drama,Romance
Moonstruck,Comedy,Drama,Romance
The Bad Batch,Action,Horror,Mystery
Hackers,Crime,Drama,Romance
Your Highness,Adventure,Comedy,Fantasy
Chloe,Drama,Mystery,Romance
Trainwreck,Comedy,Drama,Romance
Splash,Comedy,Fantasy,Romance
The Constant Gardener,Drama,Mystery,Romance
Aquamarine,Comedy,Family,Fantasy
Labor Day,Drama,Romance,Thriller
Against All Odds,Action,Adventure,Crime
How to Be Single,Comedy,Drama,Romance
Boomerang!,Crime,Drama,Film-Noir
The Invention of Lying,Comedy,Fantasy,Romance
The Longest Ride,Comedy,Drama,Romance
Ammonite,Biography,Drama,History
The Life Aquatic with Steve Zissou,Action,Adventure,Comedy
Eat Pray Love,Biography,Drama,Romance
It's Complicated,Comedy,Drama,Romance
P.S. I Love You,Comedy,Drama,Romance
Destination Wedding,Comedy,Drama,Romance
La migliore offerta,Crime,Drama,Mystery
Illusions perdues,Drama,History,Romance
Happiest Season,Comedy,Crime,Drama
Trolls,Animation,Adventure,Comedy
A Good Year,Comedy,Drama,Romance
Shortbus,Comedy,Drama,Romance
Charade,Comedy,Mystery,Romance
Where the Heart Is,Comedy,Drama,Romance
Speed 2: Cruise Control,Action,Adventure,Crime
Snow White and the Seven Dwarfs,Animation,Adventure,Family
Sex and the City,Comedy,Drama,Romance
The Adjustment Bureau,Romance,Sci-Fi,Thriller
Howard the Duck,Action,Adventure,Comedy
Hannah Montana: The Movie,Comedy,Drama,Family
While You Were Sleeping,Comedy,Drama,Romance
Somewhere in Time,Drama,Fantasy,Romance
Never Been Kissed,Comedy,Drama,Romance
Annette,Drama,Musical,Romance
Only Lovers Left Alive,Comedy,Drama,Fantasy
The Road to El Dorado,Animation,Adventure,Comedy
Wish Dragon,Animation,Adventure,Comedy
Lafayette Escadrille,Drama,Romance,War
Frida,Biography,Drama,Romance
Warm Bodies,Comedy,Horror,Romance
Lars and the Real Girl,Comedy,Drama,Romance
"Les Olympiades, Paris 13e",Comedy,Drama,Romance
Garden State,Comedy,Drama,Romance
Around the World in 80 Days,Adventure,Comedy,Family
Duel in the Sun,Drama,Romance,Western
Last Christmas,Comedy,Drama,Fantasy
A Ghost Story,Drama,Fantasy,Romance
Big Eyes,Biography,Crime,Drama
Bitter Moon,Drama,Romance,Thriller
The Young Victoria,Biography,Drama,History
Shrek the Third,Animation,Adventure,Comedy
The Book of Life,Animation,Adventure,Comedy
Emma,Comedy,Drama,Romance
Drop Dead Gorgeous,Comedy,Romance,Thriller
Youth,Comedy,Drama,Music
Shrek Forever After,Animation,Adventure,Comedy
Life as We Know It,Comedy,Drama,Romance
Rebecca,Drama,Film-Noir,Mystery
My Best Friend's Wedding,Comedy,Drama,Romance
Kama Sutra: A Tale of Love,Crime,Drama,History
The Mexican,Adventure,Comedy,Crime
Sex Appeal,Comedy,Drama,Romance
Rent,Drama,Musical,Romance
The Night Clerk,Crime,Drama,Mystery
Sirens,Comedy,Drama,Romance
Under the Tuscan Sun,Comedy,Drama,Romance
French Kiss,Comedy,Drama,Romance
Cleopatra,Biography,Drama,History
To Catch a Thief,Mystery,Romance,Thriller
Robin Hood,Animation,Adventure,Comedy
Singles,Comedy,Drama,Music
Café Society,Comedy,Drama,Romance
A Dangerous Method,Biography,Drama,Romance
Spontaneous,Comedy,Drama,Horror
Marley &amp; Me,Comedy,Drama,Family
Jersey Girl,Comedy,Drama,Romance
Stealing Beauty,Drama,Mystery,Romance
Flipped,Comedy,Drama,Romance
The Thing Called Love,Comedy,Drama,Music
Boys Don't Cry,Biography,Crime,Drama
The Crying Game,Crime,Drama,Romance
Safe Haven,Drama,Romance,Thriller
What Dreams May Come,Drama,Fantasy,Romance
His Girl Friday,Comedy,Drama,Romance
Frankenstein,Drama,Horror,Romance
Yoga Hosers,Action,Comedy,Horror
SLC Punk!,Comedy,Drama,Music
Thumbelina,Animation,Adventure,Family
The Break-Up,Comedy,Drama,Romance
Hot Summer Nights,Comedy,Crime,Drama
Original Sin,Drama,Mystery,Romance
Durante la tormenta,Drama,Fantasy,Mystery
Sliding Doors,Comedy,Drama,Fantasy
I Saw the Light,Biography,Drama,Music
The Escort,Comedy,Drama,Romance
A Goofy Movie,Animation,Adventure,Comedy
La Belle Époque,Comedy,Drama,Fantasy
I Origins,Drama,Mystery,Romance
Heartbreakers,Comedy,Crime,Romance
Shithouse,Comedy,Drama,Romance
The Host,Action,Adventure,Drama
Maid in Manhattan,Comedy,Drama,Romance
Moonshot,Comedy,Romance,Sci-Fi
Waves,Drama,Romance,Sport
All the Right Moves,Drama,Romance,Sport
What Women Want,Comedy,Fantasy,Romance
Sing Street,Comedy,Drama,Music
Return to the Blue Lagoon,Adventure,Drama,Romance
Der Himmel über Berlin,Drama,Fantasy,Romance
A Hidden Life,Biography,Drama,Romance
Viceroy's House,Biography,Drama,History
Open Range,Action,Drama,Romance
Odd Thomas,Comedy,Fantasy,Horror
Catch and Release,Comedy,Drama,Romance
My Fair Lady,Drama,Family,Musical
